date;salesAmount;promotionYes;bridgeDayYes;publicHolidayYes;seasonCode;seasonName;calendarWeek;newSnowCode;newSnowDescription;rainCode;rainDescription;sunshineCode;sunShineDescription;temperaturCode;temperatureDescription;shopsClosedYes;weekdayCode;weekDayDescription
2013-02-22;14099;1;0;0;4;Winter;8;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;6;Freitag
2013-02-23;17901;1;0;0;4;Winter;8;0;kein Schnee;1;viel trockener als Mittel;2;weniger als Mittel;1;viel kaelter als Mittel;0;7;Samstag
2013-02-24;1292;1;0;0;4;Winter;8;2;mehr als 1 cm Schnee;4;feuchter als Mittel;3;Mittel;1;viel kaelter als Mittel;1;1;Sonntag
2013-02-25;11819;1;0;0;4;Winter;9;0;kein Schnee;1;viel trockener als Mittel;5;viel mehr als Mittel;1;viel kaelter als Mittel;0;2;Montag
2013-02-26;5830;0;0;0;4;Winter;9;0;kein Schnee;1;viel trockener als Mittel;2;weniger als Mittel;2;kaelter als Mittel;0;3;Dienstag
2013-02-27;5685;0;0;0;4;Winter;9;0;kein Schnee;3;Mittel;1;viel weniger als Mittel;3;Mittel;0;4;Mittwoch
2013-02-28;6147;0;0;0;4;Winter;9;0;kein Schnee;3;Mittel;1;viel weniger als Mittel;3;Mittel;0;5;Donnerstag
2013-03-01;7133;0;0;0;1;Fruehling;9;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;6;Freitag
2013-03-02;8932;0;0;0;1;Fruehling;9;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;7;Samstag
2013-03-03;1002;0;0;0;1;Fruehling;9;0;kein Schnee;1;viel trockener als Mittel;3;Mittel;1;viel kaelter als Mittel;1;1;Sonntag
2013-03-04;5305;0;0;0;1;Fruehling;10;0;kein Schnee;1;viel trockener als Mittel;3;Mittel;1;viel kaelter als Mittel;0;2;Montag
2013-03-05;5056;0;0;0;1;Fruehling;10;0;kein Schnee;1;viel trockener als Mittel;3;Mittel;1;viel kaelter als Mittel;0;3;Dienstag
2013-03-06;5397;0;0;0;1;Fruehling;10;0;kein Schnee;1;viel trockener als Mittel;3;Mittel;3;Mittel;0;4;Mittwoch
2013-03-07;6052;0;0;0;1;Fruehling;10;0;kein Schnee;1;viel trockener als Mittel;2;weniger als Mittel;4;waermer als Mittel;0;5;Donnerstag
2013-03-08;8385;0;0;0;1;Fruehling;10;0;kein Schnee;5;viel feuchter als Mittel;3;Mittel;4;waermer als Mittel;0;6;Freitag
2013-03-09;9742;0;0;0;1;Fruehling;10;0;kein Schnee;1;viel trockener als Mittel;3;Mittel;5;viel waermer als Mittel;0;7;Samstag
2013-03-10;880;0;0;0;1;Fruehling;10;0;kein Schnee;4;feuchter als Mittel;2;weniger als Mittel;4;waermer als Mittel;1;1;Sonntag
2013-03-11;7594;0;0;0;1;Fruehling;11;0;kein Schnee;5;viel feuchter als Mittel;2;weniger als Mittel;3;Mittel;0;2;Montag
2013-03-12;14609;1;0;0;1;Fruehling;11;0;kein Schnee;1;viel trockener als Mittel;2;weniger als Mittel;3;Mittel;0;3;Dienstag
2013-03-13;14071;1;0;0;1;Fruehling;11;0;kein Schnee;4;feuchter als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;4;Mittwoch
2013-03-14;14791;1;0;0;1;Fruehling;11;2;mehr als 1 cm Schnee;4;feuchter als Mittel;3;Mittel;1;viel kaelter als Mittel;0;5;Donnerstag
2013-03-15;17113;1;0;0;1;Fruehling;11;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;3;Mittel;1;viel kaelter als Mittel;0;6;Freitag
2013-03-16;19911;1;0;0;1;Fruehling;11;0;kein Schnee;1;viel trockener als Mittel;4;mehr als Mittel;1;viel kaelter als Mittel;0;7;Samstag
2013-03-17;1566;1;0;0;1;Fruehling;11;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;2;kaelter als Mittel;1;1;Sonntag
2013-03-18;12185;1;0;0;1;Fruehling;12;0;kein Schnee;5;viel feuchter als Mittel;2;weniger als Mittel;2;kaelter als Mittel;0;2;Montag
2013-03-19;5541;0;0;0;1;Fruehling;12;0;kein Schnee;5;viel feuchter als Mittel;4;mehr als Mittel;3;Mittel;0;3;Dienstag
2013-03-20;5492;0;0;0;1;Fruehling;12;0;kein Schnee;4;feuchter als Mittel;2;weniger als Mittel;2;kaelter als Mittel;0;4;Mittwoch
2013-03-21;5292;0;0;0;1;Fruehling;12;0;kein Schnee;4;feuchter als Mittel;3;Mittel;3;Mittel;0;5;Donnerstag
2013-03-22;7503;0;0;0;1;Fruehling;12;0;kein Schnee;1;viel trockener als Mittel;4;mehr als Mittel;4;waermer als Mittel;0;6;Freitag
2013-03-23;9066;0;0;0;1;Fruehling;12;0;kein Schnee;1;viel trockener als Mittel;2;weniger als Mittel;2;kaelter als Mittel;0;7;Samstag
2013-03-24;1277;0;0;0;1;Fruehling;12;0;kein Schnee;4;feuchter als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;1;1;Sonntag
2013-03-25;6141;0;0;0;1;Fruehling;13;1;weniger als 1 cm Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;2;Montag
2013-03-26;5927;0;0;0;1;Fruehling;13;1;weniger als 1 cm Schnee;4;feuchter als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;3;Dienstag
2013-03-27;7837;0;0;0;1;Fruehling;13;0;kein Schnee;1;viel trockener als Mittel;3;Mittel;1;viel kaelter als Mittel;0;4;Mittwoch
2013-03-28;13142;0;0;0;1;Fruehling;13;1;weniger als 1 cm Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;5;Donnerstag
2013-03-29;1173;0;0;1;1;Fruehling;13;0;kein Schnee;5;viel feuchter als Mittel;2;weniger als Mittel;1;viel kaelter als Mittel;1;6;Freitag
2013-03-30;11280;0;0;0;1;Fruehling;13;1;weniger als 1 cm Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;7;Samstag
2013-03-31;702;0;0;1;1;Fruehling;13;1;weniger als 1 cm Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;1;1;Sonntag
2013-04-01;647;0;0;1;1;Fruehling;14;0;kein Schnee;1;viel trockener als Mittel;4;mehr als Mittel;1;viel kaelter als Mittel;1;2;Montag
